model,n_components,k,tr_silhouette,tr_calinski_harabasz,tr_davies_bouldin,te_silhouette,te_calinski_harabasz,te_davies_bouldin
SVD+KMeans,2,2,0.3431113021844096,9610.262710165747,1.1246696896710868,0.3366182740296471,2293.8538504446437,1.1468770252076448
SVD+KMeans,2,3,0.34024079607835095,9731.016076382963,0.9541045812195432,0.3391717345373538,2398.9570290350107,0.9593426656212206
SVD+KMeans,2,4,0.32797028677875845,9560.842729145925,0.9303723642301313,0.3191313706029355,2274.806620841468,0.9532032033790524
SVD+KMeans,2,5,0.3310193194581617,9761.284346705563,0.8888657437963179,0.3293697287485079,2400.5146878015235,0.8893869087835687
SVD+KMeans,2,6,0.32071031223316965,9455.774914653637,0.8752873790626957,0.3167687340935751,2314.0113890176494,0.8780719722391508
SVD+KMeans,2,8,0.3156210360250436,9317.222200984857,0.9022164080562549,0.3114838201225094,2268.489281148691,0.9068631890962149
SVD+KMeans,2,10,0.32665405155105176,9422.319001432475,0.8346521704762674,0.33058943704100996,2317.2446062525373,0.8312740502131264
SVD+KMeans,3,2,0.2757895880235062,6373.758449068832,1.3796555511259176,0.270707045717359,1530.7575879755775,1.4096588198923024
SVD+KMeans,3,3,0.2612023439552393,5712.149333579338,1.2639447253389917,0.26242289844374467,1431.9472855464758,1.2697230936559316
SVD+KMeans,3,4,0.2958034155969124,6507.396929740376,0.9700223954874492,0.2965748902414141,1597.8766538153207,0.9717700818918878
SVD+KMeans,3,5,0.27795383079967784,6573.365817814248,0.9941998236378342,0.2702521792674267,1566.7610170372275,1.0087480760291079
SVD+KMeans,3,6,0.2732822197606003,6576.778856697514,1.0023942014159692,0.2702734951888804,1601.018605009203,1.0051719448465488
SVD+KMeans,3,8,0.2514537324835744,6040.160999594458,1.0864896963923445,0.2445211618697744,1462.0377569473044,1.1106782642894086
SVD+KMeans,3,10,0.24922089685763374,5656.743647524438,1.0578364110016887,0.24687944011014157,1383.1283304368753,1.0537076872319733
SVD+KMeans,5,2,0.21929141103139257,4592.180945371143,1.6746571209834307,0.21457292964418279,1102.3452386684883,1.7132702116392016
SVD+KMeans,5,3,0.19914894648281023,3862.4677195100853,1.588578326968664,0.20066167422836115,963.7931418790012,1.5970982115084926
SVD+KMeans,5,4,0.230815606078814,4746.573881485547,1.2094906024917234,0.23085996145678847,1166.0576874448484,1.2113143167019809
SVD+KMeans,5,5,0.2092577562271936,4487.621149577495,1.2772034584974776,0.20418623940022046,1083.0834599127365,1.2917775582549678
SVD+KMeans,5,6,0.20285703568458313,4262.824278255781,1.262463086930553,0.20031283832153046,1048.6042486518718,1.2531383926563298
SVD+KMeans,5,8,0.21041676500672785,3896.2787432945543,1.2392008612252823,0.20434697446855765,945.5020311650306,1.2498560214904129
SVD+KMeans,5,10,0.19912409295840033,3546.4462647385526,1.253283394368587,0.20059271596506378,886.2006054910601,1.240907843905235
SVD+KMeans,8,2,0.1923578980921605,4007.514360338366,1.8325593956059198,0.18877624455746755,967.1998315536817,1.8680572545298895
SVD+KMeans,8,3,0.17183039471543135,3316.7443360581956,1.7615311001631715,0.17420104150176063,832.2405244216833,1.7622842217301493
SVD+KMeans,8,4,0.19833906184435993,3916.8341668576486,1.35376694586158,0.20022219619134182,970.5767050509138,1.3526173793162797
SVD+KMeans,8,5,0.16878849899110152,3605.828861886058,1.5684420018773508,0.1706249210206638,895.7147146206303,1.5439871430611276
SVD+KMeans,8,6,0.16710661142187747,3380.006153373728,1.49252240879576,0.16859427992175086,842.1207417196013,1.466109067747072
SVD+KMeans,8,8,0.1625743588872796,2930.2355718061995,1.4878872638003044,0.1647732248625359,734.5368571866403,1.4655091514314262
SVD+KMeans,8,10,0.1653689200307732,2701.682719008072,1.4967901946450883,0.16495726261065694,665.4970732900041,1.5067790723116208
SVD+KMeans,12,2,0.17020743398328772,3512.3193053930345,1.9892568419176646,0.1670532034077474,849.005405982103,2.0265812282739257
SVD+KMeans,12,3,0.14919275594977477,2859.663847901368,1.9307186467740924,0.15151025246521613,718.0601686321401,1.928714875991507
SVD+KMeans,12,4,0.17365618820907452,3283.3544263254794,1.4970242239051594,0.17545608290339462,815.004075289151,1.4956618256577292
SVD+KMeans,12,5,0.1503966283402542,2983.478667587671,1.6475438896451897,0.1500148362700385,737.4119217759823,1.6252211975572337
SVD+KMeans,12,6,0.1416934036949384,2738.2032502439283,1.6858442424124418,0.14317313941641605,682.1363773133577,1.6493473015391968
SVD+KMeans,12,8,0.1446422263642739,2378.791614479467,1.6460096987344157,0.14202337269941886,586.4227008720762,1.640381358799226
SVD+KMeans,12,10,0.1437590813425846,2139.2201392704274,1.70929046381592,0.1425110418451373,531.9397944712183,1.7057039557251794
