model,params,tr_silhouette,te_silhouette,tr_calinski_harabasz,te_calinski_harabasz,tr_davies_bouldin,te_davies_bouldin
NMF+KMeans,"{""n_components"": 2, ""k"": 3}",0.8784597153188547,0.8790501826507873,500622.60541664035,127485.2322134034,0.17104274489586588,0.16906470737144777
PCA+GMM,"{""n_components"": 5, ""k"": 2, ""covariance_type"": ""full""}",0.4967980412422877,0.49284705404901685,2766.6180724733063,673.2899698126232,0.6292534391491815,0.6370871244763294
PCA+Agglo,"{""n_components"": 5, ""k"": 2, ""linkage"": ""average""}",0.4967980412422877,0.49284705404901685,2766.6180724733063,673.2899698126232,0.6292534391491815,0.6370871244763294
SVD+GMM,"{""n_components"": 5, ""k"": 2, ""covariance_type"": ""full""}",0.49623344743066944,0.4922413357547918,2759.1075916029167,671.3289170427856,0.6300964294440762,0.6380028315863399
SVD+KMeans,"{""n_components"": 2, ""k"": 2}",0.3431113021844096,0.3366182740296471,9610.262710165747,2293.8538504446437,1.1246696896710868,1.1468770252076448
PCA+KMeans,"{""n_components"": 2, ""k"": 2}",0.3431096705410534,0.3366169607631905,9610.223955520043,2293.845824746709,1.1246733670240052,1.1468796688587886
