model,n_components,k,tr_silhouette,tr_calinski_harabasz,tr_davies_bouldin,te_silhouette,te_calinski_harabasz,te_davies_bouldin
PCA+KMeans,2,2,0.3431096730355257,9610.224026450684,1.1246733611650208,0.33661696257866536,2293.8458345786958,1.1468796658747973
PCA+KMeans,2,3,0.34023975889438884,9730.831183977654,0.9540746825752766,0.3391641871249042,2398.893079425594,0.9593646545160284
PCA+KMeans,2,4,0.3279693335242507,9560.78894571533,0.9303682810680413,0.3191278696296003,2274.7830981677616,0.9532009450740037
PCA+KMeans,2,5,0.3310212198780273,9761.297518027182,0.8888668576973007,0.32937322232285193,2400.5235522485086,0.8893834752144146
PCA+KMeans,2,6,0.32071226154775423,9455.774182181209,0.8752928219624528,0.31677150407932936,2314.0151055141373,0.8780670447577789
PCA+KMeans,2,8,0.3156223200791943,9317.266438845167,0.902254814203457,0.3114774616327543,2268.527125738475,0.907116341680515
PCA+KMeans,2,10,0.3266505625303609,9422.233291493778,0.8346542705808977,0.3305841740820448,2317.2147064479113,0.8312805631108224
PCA+KMeans,3,2,0.2757405358510762,6373.06771702415,1.3798531251440767,0.27065106566578423,1530.5397525401563,1.40988658539969
PCA+KMeans,3,3,0.26113551168219956,5711.408909640872,1.2641203401274748,0.2623628234850608,1431.739414043432,1.269900600736037
PCA+KMeans,3,4,0.23423169226413168,5242.688783840988,1.3093822336754672,0.2319796155005644,1289.3360451258056,1.3129036869385897
PCA+KMeans,3,5,0.27540437214383945,6577.315642388781,1.0493458458659015,0.2743182338498256,1612.9670039163586,1.0364030087104155
PCA+KMeans,3,6,0.2731838363742551,6570.975527108131,1.0026324233917423,0.2701900983734552,1599.6632683087587,1.0054326432708722
PCA+KMeans,3,8,0.2513942101347014,6034.829957574046,1.0857004973692383,0.24450575274704728,1460.8340022698724,1.1102169758792577
PCA+KMeans,3,10,0.2474530915306458,5609.157670419551,1.081975568287874,0.24732441280504674,1372.6298539347495,1.0795014810444665
PCA+KMeans,5,2,0.21921056053262844,4588.139744052713,1.6751963711406515,0.21449773545064457,1101.347473757833,1.713831302834367
PCA+KMeans,5,3,0.19908544403797065,3858.4944548148264,1.5893649216594117,0.20058237208021001,962.7859432513508,1.5977642899018882
PCA+KMeans,5,4,0.23076132933523696,4748.792331945763,1.2096299198795477,0.23081346659809165,1166.6778391787818,1.2113961350188627
PCA+KMeans,5,5,0.20920524164559476,4489.006900602627,1.277403406536377,0.2041387013159645,1083.5025601821374,1.291936786837391
PCA+KMeans,5,6,0.20280806911138236,4263.707196242333,1.2627864921041267,0.20028674738152558,1048.847361370325,1.2533895958376575
PCA+KMeans,5,8,0.2087727636625803,3927.444712672774,1.2049540477932315,0.2056337987270306,957.6979071723126,1.20335030139096
PCA+KMeans,5,10,0.2031036053000384,3603.721661597702,1.252960877682847,0.20370476312616256,892.9183070500693,1.2497072402890697
PCA+KMeans,8,2,0.18429042951752728,3830.830217927922,1.8867127731375164,0.18089066030937745,924.9188929980795,1.9227622601257626
PCA+KMeans,8,3,0.21462475290132146,3794.412620958011,1.3971823425292387,0.2108254521187697,919.7322227621517,1.4151683803098447
PCA+KMeans,8,4,0.18912622188587228,3681.063648537984,1.4028406890210046,0.19099288193250596,912.3100254012276,1.4012716935149165
PCA+KMeans,8,5,0.1679868093684557,3386.5385505475415,1.5003755254095155,0.1648622466893249,826.170594684012,1.5074058899220826
PCA+KMeans,8,6,0.15888948538926745,3142.0987749429687,1.548914949071295,0.1600570718970733,782.7385856305157,1.5230766843107546
PCA+KMeans,8,8,0.15474587846826515,2715.798758314324,1.5482117511802873,0.15385021814730945,674.0080704678893,1.543338621315427
PCA+KMeans,8,10,0.15574137875608646,2472.0330033423347,1.5340426094866677,0.1574646581736115,620.9031691146791,1.5024918770680793
PCA+KMeans,12,2,0.1677036756420336,3457.5669842752814,2.0089524015349225,0.16457906352344198,835.8968380538328,2.0463274921262964
PCA+KMeans,12,3,0.13142107995949923,2690.7349686975244,1.962711439327616,0.12849202868135637,661.8831396850837,1.9516180906904308
PCA+KMeans,12,4,0.17103983274228762,3210.8015763598764,1.5177582625289947,0.17242929012946437,796.1698013985138,1.505556661887168
PCA+KMeans,12,5,0.14213893877688488,2901.2630002564206,1.762242461567779,0.14355553235723859,720.995663509305,1.7399782691155532
PCA+KMeans,12,6,0.13966967064376382,2681.4304327384716,1.6933534544305475,0.14101119236189136,667.9425215106937,1.669764892036721
PCA+KMeans,12,8,0.13796219357339,2324.6512797168302,1.6593500558597833,0.13985324061753532,573.1345292087708,1.6361872124128025
PCA+KMeans,12,10,0.13050788055025095,2044.9938517483647,1.8027199271288943,0.12888984088344893,504.1798528455152,1.8101492225636384
