model,n_components,k,linkage,tr_silhouette,tr_calinski_harabasz,tr_davies_bouldin,te_silhouette,te_calinski_harabasz,te_davies_bouldin
PCA+Agglomerative,2,2,ward,0.31420973413899744,7938.844693295352,1.134708209832872,0.3258840707456614,2130.350411238603,1.1542777093946264
PCA+Agglomerative,2,2,complete,0.31331813002169634,6705.115854565158,1.1627902741714287,0.32346777494998263,1977.7226282572688,1.1667383632293211
PCA+Agglomerative,2,2,average,0.49520679563703335,20.46565434554999,0.3389868452861735,0.3391982363873013,489.88615747429657,0.922797312639087
PCA+Agglomerative,2,3,ward,0.2874983338090332,8442.77962487103,1.1300486413242934,0.3307100829662389,2357.742585065831,0.9943185824454913
PCA+Agglomerative,2,3,complete,0.26444247007079513,6609.064401261896,1.088646318964728,0.30637686576682915,2030.7120032565738,1.057332554646706
PCA+Agglomerative,2,3,average,0.3234057818292775,132.1978571544122,0.5781616288377901,0.23183579286131376,544.6017759457292,1.062461223627431
PCA+Agglomerative,2,4,ward,0.269135543087294,7604.105820514073,1.0616311014686763,0.31856871855854213,2254.831098319236,0.9537898864257406
PCA+Agglomerative,2,4,complete,0.23203789986356654,6027.994366538072,0.9422009599364238,0.31713084895098087,2175.6795049044945,0.9449660014057799
PCA+Agglomerative,2,4,average,0.21818689479211723,416.905226590302,0.640167448314061,0.18222090071574562,672.8026031665403,1.021311017200285
PCA+Agglomerative,2,5,ward,0.25651469421349504,7581.594211130869,1.0813634278689288,0.304941329883492,2219.722431780651,0.9885117786121851
PCA+Agglomerative,2,5,complete,0.2167310508154582,5399.661419535736,0.874787093399372,0.3242721805291059,2219.765934109755,0.8610340726544676
PCA+Agglomerative,2,5,average,0.11987887495518776,614.5034038461043,0.6537163992078087,0.19705340261959609,997.8674371992196,0.957938385916391
PCA+Agglomerative,2,6,ward,0.2632508191061065,8020.275284188063,1.0237769458022117,0.3130558069807597,2293.4828368229228,0.9041036479445878
PCA+Agglomerative,2,6,complete,0.22765929194308057,5534.511289791603,0.9249257465960946,0.3136356565238771,2113.5652415725867,0.8850754371410053
PCA+Agglomerative,2,6,average,0.1759149208209188,2306.2350129329025,0.8370255185828036,0.228769529947446,1204.4820969299492,1.0053651860267194
PCA+Agglomerative,2,8,ward,0.26498110472728714,7635.725700292508,0.9747107066608475,0.29508443818439295,2089.6498460013977,0.919256478982572
PCA+Agglomerative,2,8,complete,0.1884291421684383,5080.144129010056,0.948499231502106,0.2915807155259911,2013.712741035321,0.949018166111661
PCA+Agglomerative,2,8,average,0.23870191807445432,4092.486070639388,0.7502882130682549,0.2700089545003399,1529.6727531385277,0.8615057080943439
PCA+Agglomerative,2,10,ward,0.2678006220038416,7580.676198680473,0.9901785368220132,0.29976300337367434,2085.9088748945023,0.929121601828949
PCA+Agglomerative,2,10,complete,0.2331409396338472,6308.604731219504,0.9531351445076532,0.2987956054862112,2031.1423978295416,0.9375997721798882
PCA+Agglomerative,2,10,average,0.2198699505408715,3393.7338053184967,0.7482374165465928,0.25330881315789616,1350.5705418309772,0.8315763582570618
PCA+Agglomerative,3,2,ward,0.26031146867871374,4966.699976430153,1.5369519384839236,0.269455528579794,1423.254042636649,1.459692320288429
PCA+Agglomerative,3,2,complete,0.20384801656825868,3688.5374225258424,1.5611702030093864,0.25170490698233494,1346.479074995797,1.4024810887586667
PCA+Agglomerative,3,2,average,0.44035016037416463,26.469117011074413,0.5170397306629432,0.2664460974435766,338.6320068240897,1.0603240666205223
PCA+Agglomerative,3,3,ward,0.27769522113310235,4714.494544151512,1.0822756554195048,0.29935562445372155,1317.3005605203475,1.0474971226471228
PCA+Agglomerative,3,3,complete,0.16290897798065698,3843.4815107868912,1.550959435522806,0.23202100117946006,1283.7141161877382,1.3891611016852756
PCA+Agglomerative,3,3,average,0.40196127759948513,1267.6396293230823,0.5755563604632555,0.2908307942111395,524.1987369276795,0.8886142319637301
PCA+Agglomerative,3,4,ward,0.22719217313800893,5011.917515988749,1.2244683445170592,0.26423270264952897,1424.2297011560242,1.0906138137563801
PCA+Agglomerative,3,4,complete,0.1968420074734274,4367.913261788021,1.2329508694366071,0.2724733438372748,1455.9730271399508,1.0468900542844606
PCA+Agglomerative,3,4,average,0.31934721053969917,859.3789019520444,0.615187591428045,0.2270155850756976,477.5467022297179,1.0144959033266163
PCA+Agglomerative,3,5,ward,0.21015365954814128,4920.919265936266,1.1772821861101712,0.2555381731859007,1490.4114491211833,1.072772860281238
